ORI,AGENCY NAME,POPULATION,VIOLENT CRIME,PROPERTY CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT,BURGLARY,LARCENY,MTR VEHICLE THEFT,ARSON
OH07914,PORT WASHINGTON,566,,2,,,,,1,1,,
OH07918,STRASBURG,"2,689",1,23,,,1,,5,18,,
OH07919,TUSCARAWAS,"1,055",,2,,,,,,2,,
OH07921,MUSKINGUM WATERSHED,,6,41,,1,,5,4,37,,
OH07900,TUSCARAWAS COUNTY SHERIFF,"41,002",22,234,1,8,3,10,66,150,18,2
,TUSCARAWAS COUNTY TOTAL,"89,675",57,690,2,14,9,32,138,507,45,3
,,,,,,,,,,,,
OH02503,DUBLIN,"2,510",1,29,,1,,,3,25,1,
OH08001,MARYSVILLE,"23,622",17,290,1,4,3,9,27,255,8,1
OH08000,UNION COUNTY SHERIFF,"26,823",24,221,,5,,19,44,158,19,1
,UNION COUNTY TOTAL,"52,955",42,540,1,10,3,28,74,438,28,2
,,,,,,,,,,,,
OH00202,DELPHOS,"3,052",3,69,,3,,,13,56,,
OH08101,VAN WERT,"10,713",22,330,1,7,3,11,56,268,6,
OH08100,VAN WERT COUNTY SHERIFF,"14,621",17,109,,5,,12,35,70,4,
,VAN WERT COUNTY TOTAL,"28,386",42,508,1,15,3,23,104,394,10,
,,,,,,,,,,,,
OH08201,MCARTHUR,"1,636",1,43,,,1,,8,32,3,2
OH08200,VINTON COUNTY SHERIFF,"11,239",13,107,,6,,7,36,62,9,1
,VINTON COUNTY TOTAL,"12,875",14,150,,6,1,7,44,94,12,3
,,,,,,,,,,,,
OH00903,MIDDLETOWN,"2,759",14,168,,2,5,7,39,119,10,
OH00905,MONROE,144,,3,,,,,,3,,
OH03120,LOVELAND,823,,7,,,,,2,5,,
OH08301,FRANKLIN,"11,779",31,443,1,6,13,11,70,359,14,1
OH08302,HARVEYSBURG,557,,,,,,,,,,
OH08303,LEBANON,"20,741",4,116,,,1,3,12,101,3,2
OH08304,MASON,"33,406",12,357,,5,3,4,31,321,5,
OH08308,CARLISLE,"5,194",3,43,,1,,2,11,32,,
OH08310,HAMILTON TOWNSHIP,"22,916",3,59,,1,,2,6,52,1,
OH08311,MAINEVILLE,"1,070",,1,,,,,1,,,
OH08314,SPRINGBORO,"17,359",10,114,,5,,5,14,98,2,
OH08316,CLEARCREEK TOWNSHIP,"15,531",11,74,1,2,,8,8,63,3,
OH08300,WARREN COUNTY SHERIFF,"94,645",60,888,1,15,10,34,129,679,80,3
,WARREN COUNTY TOTAL,"226,924",148,"2,273",3,37,32,76,323,"1,832",118,6
,,,,,,,,,,,,
OH08401,BELPRE,"6,466",2,76,,,,2,15,56,5,
OH08402,MARIETTA,"13,582",23,250,,11,2,10,37,197,16,2
OH08408,MARIETTA COLLEGE,,,3,,,,,,3,,
OH08400,WASHINGTON COUNTY SHERIFF,"37,799",9,146,,2,,7,39,98,9,1
,WASHINGTON COUNTY TOTAL,"57,847",34,475,,13,2,19,91,354,30,3
,,,,,,,,,,,,
OH07710,NORTON,4,,,,,,,,,,
OH08501,ORRVILLE,"8,527",15,107,,6,,9,17,84,6,
OH08502,RITTMAN,"6,496",9,107,,3,2,4,35,64,8,1
OH08503,WOOSTER,"27,172",102,916,,30,24,48,157,722,37,6
OH08504,APPLE CREEK,"1,188",2,4,,,,2,,4,,
OH08507,CRESTON,"2,097",1,20,,,,1,6,12,2,1
OH08511,MARSHALLVILLE,761,1,1,,1,,,,1,,
OH08514,SMITHVILLE,"1,277",1,1,,1,,,,1,,
OH08500,WAYNE COUNTY SHERIFF,"61,363",66,541,2,13,4,47,214,297,30,6
,WAYNE COUNTY TOTAL,"108,885",197,"1,697",2,54,30,111,429,"1,185",83,14
,,,,,,,,,,,,
OH08602,MONTPELIER,"3,976",27,139,,5,1,21,28,105,6,
OH08607,PIONEER,"1,412",3,31,,2,,1,5,24,2,
OH08600,WILLIAMS COUNTY SHERIFF,"19,588",4,24,,,1,3,11,10,3,
,WILLIAMS COUNTY TOTAL,"24,976",34,194,,7,2,25,44,139,11,
,,,,,,,,,,,,
OH08701,BOWLING GREEN,"31,779",41,587,,20,6,15,86,486,15,3
OH08702,NORTH BALTIMORE,"3,546",10,46,,2,,8,9,36,1,
OH08703,PERRYSBURG,"21,732",7,232,,3,4,,10,221,1,
OH08706,BLOOMDALE,686,1,5,,,,1,3,2,,
OH08707,BRADNER,"1,024",1,2,,,,1,,2,,
OH08718,NORTHWOOD,"5,423",19,138,,2,4,13,17,116,5,
OH08719,PEMBERVILLE,"1,425",,1,,,,,,1,,
OH08724,WAYNE,927,,,,,,,,,,
OH08727,BOWLING GREEN STATE,,,31,,,,,,31,,
OH08728,PERRYSBURG TOWNSHIP,"12,784",5,167,,1,,4,21,139,7,
OH08700,WOOD COUNTY SHERIFF,"29,991",26,343,2,12,1,11,99,228,16,3
OH08734,WOOD COUNTY PARK,,,6,,,,,,6,,
,WOOD COUNTY TOTAL,"109,317",110,"1,558",2,40,15,53,245,"1,268",45,6
,,,,,,,,,,,,
OH08801,CAREY,"3,566",1,8,,,,1,2,6,,
OH08802,UPPER SANDUSKY,"6,529",15,159,,4,,11,30,126,3,1
OH08800,WYANDOT COUNTY SHERIFF,"11,177",2,15,,,,2,6,8,1,
,WYANDOT COUNTY TOTAL,"21,272",18,182,,4,,14,38,140,4,1
,,,,,,,,,,,,
,OHIO STATE TOTAL,"10,829,974","32,872","259,158",686,"5,271","11,129","15,786","54,716","185,087","19,355","1,783"
